id,name,web,longitude,latitude,location,description
233,Oslo.pm,http://oslo.pm.org/,10.7524,59.9104,"Oslo, Norway, Europe","Perl Mongers Oslo, Norway, Europe is the Perl users group that organizes meetings"
234,Madrid.pm,http://madrid.pm.org/,-3.6924,40.4063,"Madrid, Spain, Europe","Perl Mongers Madrid, Spain, Europe is the Perl users group that organizes meetings"
236,Hyderabad.pm,http://hyderabad.pm.org/,78467,17383,"Hyderabad, Andhra Pradesh, India, Asia","Perl Mongers Hyderabad, Andhra Pradesh, India, Asia is the Perl users group that organizes meetings"
237,Budapest.pm,http://budapest.pm.org/,19.0711,47.5105,"Budapest, Hungary, Europe","Perl Mongers Budapest, Hungary, Europe is the Perl users group that organizes meetings"
238,Purdue.pm,http://purdue.pm.org/,-86.9156,40.4229,"West Lafayette, Indiana, United States of America, North America","Perl Mongers West Lafayette, Indiana, United States of America, North America is the Perl users group that organizes meetings"
240,Frankfurt.pm,http://frankfurt.pm/,10.5239,49.6766,"Frankfurt, Hessen, Germany, Europe","Perl Mongers Frankfurt, Hessen, Germany, Europe is the Perl users group that organizes meetings"
252,Milan.pm,http://milan.pm.org,9.18084,45.46884,"Milan, Lombardia, Italy, Europe","Perl Mongers Milan, Lombardia, Italy, Europe is the Perl users group that organizes meetings"
264,Kolkata.pm,http://calcutta.pm.org/,88.3254,22.5155,"Kolkata, West Bengal, India, Asia","Perl Mongers Kolkata, West Bengal, India, Asia is the Perl users group that organizes meetings"
267,NewOrleans.pm,http://neworleans.pm.org/,-90.0500,29.9667,"New Orleans, Louisiana, United States of America, North America","Perl Mongers New Orleans, Louisiana, United States of America, North America is the Perl users group that organizes meetings"
270,Coimbra.pm,http://coimbra.pm.org,-8.41,40.20,"Coimbra, Portugal, Europe","Perl Mongers Coimbra, Portugal, Europe is the Perl users group that organizes meetings"
271,Kansai.pm,http://kansai.pm.org/,135.4739,34.6762,"Osaka, Japan, Asia","Perl Mongers Osaka, Japan, Asia is the Perl users group that organizes meetings"
281,Madras.pm,http://madras.pm.org/,80.2558,13.0797,"Madras, Tamil Nadu, South India, India, Asia","Perl Mongers Madras, Tamil Nadu, South India, India, Asia is the Perl users group that organizes meetings"
283,Granada.pm,http://granada.pm.org,-3.600833,37.178056,"Granada, Spain, Europe","Perl Mongers Granada, Spain, Europe is the Perl users group that organizes meetings"
285,Seneca.pm,http://seneca.pm.org,-79.500003,43.771794,"Campuses in Toronto and Surrounding Area / Seneca       College of Applied Arts and Technology, Ontario, Canada, North America","Perl Mongers Campuses in Toronto and Surrounding Area / Seneca       College of Applied Arts and Technology, Ontario, Canada, North America is the Perl users group that organizes meetings"
290,Ulm.pm,http://ulm.pm.org/,9.989373,48.397214,"Ulm, Germany, Europe","Perl Mongers Ulm, Germany, Europe is the Perl users group that organizes meetings"
292,AtlanticCity.pm,http://atlanticcity.pm.org/,-74.496485,39.465305,"AtlanticCity, New Jersey, United States of America, North America","Perl Mongers AtlanticCity, New Jersey, United States of America, North America is the Perl users group that organizes meetings"
301,Rio.pm,http://rio.pm.org/,-43.1748,-22.9062,"Rio de Janeiro, Brazil, Brazil, South America","Perl Mongers Rio de Janeiro, Brazil, Brazil, South America is the Perl users group that organizes meetings"
305,Los_Angeles.pm,http://la.pm.org/,-118.499219,34.015987,"Los Angeles, California, United States of America, North America","Perl Mongers Los Angeles, California, United States of America, North America is the Perl users group that organizes meetings"
307,Athens.pm,http://athens.pm.org/,23.72931,37.98372,"Athens, Attica, Greece, Europe","Perl Mongers Athens, Attica, Greece, Europe is the Perl users group that organizes meetings"
308,Qatar.pm,http://qatar.pm.org/,51.460839,25.255789,"Doha, Middle East, Qatar, Asia","Perl Mongers Doha, Middle East, Qatar, Asia is the Perl users group that organizes meetings"
313,Chisinau.pm,http://chisinau.pm.org/,28.838325,47.023301,"Chisinau, Moldova, Moldova, Republic of, Europe","Perl Mongers Chisinau, Moldova, Moldova, Republic of, Europe is the Perl users group that organizes meetings"
315,Birmingham.pm,http://birmingham.pm.org/,-1.8965,52.47435,"Birmingham, United Kingdom, Europe","Perl Mongers Birmingham, United Kingdom, Europe is the Perl users group that organizes meetings"
